14577,64.29,-33.53,177.70
14606,64.39,-33.55,177.69
14625,64.39,-33.54,177.75
14644,64.25,-33.57,177.71
14664,64.32,-33.58,177.72
14684,64.36,-33.61,177.72
14704,64.28,-33.68,177.68
14724,64.28,-33.63,177.68
14744,64.25,-33.59,177.64
14764,64.23,-33.53,177.69
14784,64.35,-33.56,177.68
14804,64.49,-33.61,177.68
14824,64.51,-33.63,177.65
14844,64.50,-33.61,177.71
14864,64.46,-33.62,177.69
14884,64.51,-33.62,177.69
14904,64.50,-33.67,177.70
14924,64.62,-33.66,177.73
14944,64.67,-33.66,177.69
14964,64.70,-33.66,177.71
14984,64.57,-33.64,177.78
15004,64.70,-33.56,177.77
15024,64.63,-33.49,177.78
15044,64.69,-33.54,177.84
15064,64.71,-33.55,177.84
15084,64.81,-33.58,177.80
15104,64.85,-33.58,177.80
15124,64.74,-33.59,177.79
15144,64.70,-33.59,177.77
15164,64.65,-33.61,177.78
15184,64.43,-33.61,177.75
15204,64.48,-33.59,177.73
15224,64.47,-33.58,177.66
15244,64.51,-33.63,177.69
15264,64.46,-33.65,177.71
15284,64.42,-33.61,177.66
15304,64.35,-33.58,177.70
15324,64.44,-33.58,177.68
15344,64.36,-33.54,177.67
15364,64.38,-33.55,177.64
15565,64.60,-33.56,177.77
15583,64.87,-33.20,177.55
15602,64.93,-33.23,177.55
15622,65.07,-33.30,177.52
15642,65.03,-33.34,177.51
15662,65.11,-33.32,177.47
15682,64.96,-33.34,177.53
15702,64.81,-33.38,177.57
15722,64.71,-33.36,177.60
15742,64.70,-33.37,177.57
15762,64.66,-33.39,177.54
15782,64.70,-33.41,177.59
15802,64.88,-33.47,177.53
15822,64.82,-33.44,177.60
15842,64.86,-33.44,177.56
15862,64.86,-33.50,177.65
15882,64.94,-33.52,177.66
15902,64.96,-33.50,177.61
15922,64.89,-33.53,177.63
15942,64.80,-33.55,177.68
15962,64.73,-33.57,177.70
15982,64.62,-33.58,177.71
16002,64.60,-33.62,177.74
16022,64.70,-33.66,177.73
16042,64.60,-33.64,177.71
16062,64.66,-33.64,177.70
16082,64.82,-33.59,177.70
16102,64.92,-33.60,177.64
16122,64.71,-33.59,177.64
16142,64.76,-33.59,177.69
16162,64.79,-33.58,177.72
16182,64.62,-33.61,177.73
16202,64.74,-33.63,177.64
16222,64.77,-33.67,177.60
16242,64.70,-33.67,177.61
16262,64.74,-33.70,177.62
16282,64.81,-33.69,177.61
16302,64.68,-33.68,177.62
16322,64.61,-33.69,177.64
16387,64.81,-33.69,177.67
16405,64.78,-33.60,177.59
16424,64.88,-33.60,177.60
16444,64.83,-33.61,177.53
16464,64.97,-33.61,177.54
16484,65.08,-33.61,177.56
16504,65.21,-33.63,177.54
16524,65.14,-33.66,177.55
16544,65.11,-33.62,177.55
16564,65.21,-33.57,177.56
16584,65.24,-33.55,177.54
16604,65.27,-33.56,177.58
16624,65.22,-33.58,177.61
16644,65.27,-33.55,177.59
16664,65.35,-33.59,177.60
16684,65.38,-33.58,177.58
16704,65.44,-33.60,177.58
16724,65.47,-33.55,177.60
16744,65.35,-33.56,177.57
16764,65.53,-33.56,177.56
16784,65.51,-33.62,177.61
16804,65.49,-33.62,177.64
16824,65.48,-33.62,177.67
16844,65.41,-33.67,177.67
16864,65.39,-33.63,177.69
16884,65.42,-33.60,177.69
16904,65.27,-33.60,177.65
16924,65.21,-33.62,177.68
16944,65.38,-33.63,177.68
16964,65.38,-33.64,177.76
16984,65.43,-33.61,177.76
17004,65.48,-33.61,177.77
17024,65.39,-33.58,177.71
17044,65.44,-33.59,177.69
17064,65.45,-33.59,177.68
17084,65.44,-33.57,177.69
17104,65.42,-33.61,177.70
17124,65.45,-33.57,177.71
17144,65.39,-33.52,177.71
17213,65.52,-33.51,177.74
17232,65.58,-33.42,177.81
17247,65.58,-33.44,177.76
17276,65.56,-33.47,177.77
17295,65.71,-33.50,177.70
17314,65.76,-33.54,177.72
17334,65.74,-33.51,177.68
17354,65.79,-33.51,177.67
17374,65.78,-33.57,177.65
17394,65.81,-33.59,177.68
17414,65.70,-33.59,177.65
17434,65.58,-33.57,177.69
17454,65.43,-33.60,177.70
17474,65.50,-33.61,177.73
17494,65.53,-33.65,177.69
17514,65.56,-33.66,177.69
17534,65.59,-33.67,177.69
17554,65.39,-33.62,177.75
17574,65.48,-33.62,177.71
17594,65.56,-33.61,177.68
17614,65.46,-33.62,177.70
17634,65.48,-33.64,177.69
